ens,flag,m2200,mmax,t0,tau,m2200 scaled,mmax scaled
1.0,0,0.726269120214884,1.1718507268631129,183.87470096614,32.6239307943839,14.52538240429768,23.437014537262257
2.0,0,0.326700343459854,0.3358667616555522,119.305251316567,22.5488624819635,6.53400686919708,6.717335233111044
3.0,0,0.987843619461476,2.5764511742329432,222.430775096096,50.5760705620845,19.75687238922952,51.529023484658865
4.0,0,0.510266419498486,0.6686749285142923,107.850977004619,65.9521748885152,10.205328389969718,13.373498570285847
5.0,0,0.179301306596663,0.36159030017074656,200.173496964781,39.1710948766745,3.58602613193326,7.231806003414931
6.0,0,0.780073138282686,0.7934245295416531,131.933976638877,16.7314452874092,15.60146276565372,15.868490590833062
7.0,0,0.409512213070679,0.6967160561055152,176.342214444404,55.7582186362495,8.190244261413579,13.934321122110305
8.0,0,0.630861035947661,0.6314612861217483,123.846382603965,10.9455329530948,12.61722071895322,12.629225722434967
9.0,0,0.0547387715228928,0.13185209047492208,216.172952320925,53.9312205322667,1.0947754304578559,2.6370418094984416
10.0,0,0.891937400425721,1.3127793339424443,147.681162324052,60.133522024039,17.838748008514422,26.255586678848886
11.0,0,0.293802121820278,0.5340760687033708,192.086304133351,37.3768370606603,5.87604243640556,10.681521374067415
12.0,0,0.208788920611787,0.22072222433166644,142.102295293831,20.2232426224068,4.17577841223574,4.414444486633329
13.0,0,0.601769517056114,0.9030059897042975,167.890742356457,44.2731917872562,12.03539034112228,18.06011979408595
14.0,0,0.438505507614683,0.5847066610715501,103.542088279018,70.5857942015797,8.77011015229366,11.694133221431002
15.0,0,0.872070555311434,1.9970725322116323,206.672146146886,26.2902880284437,17.441411106228678,39.941450644232646
16.0,0,0.963919209273948,1.295988196353619,173.46946455292,24.8664778548643,19.27838418547896,25.91976392707238
17.0,0,0.350689600662842,0.4503730886847279,136.752467484544,47.6231860687943,7.01379201325684,9.007461773694558
18.0,0,0.701483592930106,1.4759337681687157,197.186231537735,74.0544902974565,14.02967185860212,29.518675363374314
19.0,0,0.113107606651973,0.12013202088951402,112.799122472096,31.0687794677333,2.26215213303946,2.4026404177902805
20.0,0,0.385572517475301,1.6815677123543082,217.475005132494,14.4147095603642,7.711450349506021,33.631354247086165
21.0,0,0.803955602553926,1.0528325988082088,122.284884796234,58.7102234836839,16.079112051078518,21.056651976164176
22.0,0,0.154286956476931,0.2786760971378044,179.063838342225,64.7772687686242,3.08573912953862,5.573521942756088
23.0,0,0.535101463680356,0.7457909477614066,160.963059140237,40.727311853591,10.70202927360712,14.915818955228133
24.0,0,0.00786990879810974,0.010161043443304152,116.908800861899,59.3650513431882,0.1573981759621948,0.20322086886608304
25.0,0,0.677794777357854,1.997618563055994,224.796723142081,37.6314381048891,13.55589554715708,39.95237126111988
26.0,0,0.278164978199469,0.2839078041427001,156.572522595345,11.191887801812,5.56329956398938,5.678156082854002
27.0,0,0.907517318311206,1.6353488742254285,185.415358080851,53.1709960469275,18.15034636622412,32.70697748450857
28.0,0,0.586140238760343,0.8580080057743089,133.322077934051,69.3094103847063,11.72280477520686,17.16016011548618
29.0,0,0.22436096572048,0.3164383406226534,174.923610740547,28.0686381684697,4.4872193144096,6.328766812453068
30.0,0,0.825193804906354,0.8393051281689168,110.369480870142,21.9933465669211,16.50387609812708,16.786102563378336
31.0,0,0.485447099446409,0.954580088888406,197.685499233569,43.0050541658945,9.70894198892818,19.09160177776812
32.0,0,0.335063973725925,0.5807793714291165,164.475813460412,73.8081204327583,6.7012794745185005,11.61558742858233
33.0,0,0.979602091753201,1.1481267167675924,143.571484865656,31.8290199378265,19.59204183506402,22.962534335351847
34.0,0,0.0662196041002241,0.14436933396950735,204.227057861587,25.6349645204692,1.3243920820044819,2.887386679390147
35.0,0,0.748306746603457,0.8595763238929521,104.026326561757,47.3685700085845,14.966134932069139,17.191526477859043
36.0,0,0.757059719773633,1.728128422463442,210.812374679971,63.0071498081288,15.14119439547266,34.56256844926884
37.0,0,0.432403529021937,0.5208429334504672,131.183070416611,41.9954654597067,8.648070580438741,10.416858669009343
38.0,0,0.519483679713219,0.7563989249877068,187.680247323975,15.6911093619915,10.38967359426438,15.127978499754136
39.0,0,0.169961943824135,0.25329740415713786,154.017698288515,56.9318583276769,3.3992388764826997,5.065948083142757
40.0,0,0.883573813007229,1.4907986767263992,194.789797615537,13.8910195327043,17.67147626014458,29.815973534527984
41.0,0,0.302043632762109,0.3668040854870469,115.165019989261,51.1073812001114,6.04087265524218,7.336081709740938
42.0,0,0.652776602626018,1.1076602725927387,171.959293314421,61.1743274410568,13.055532052520359,22.153205451854774
43.0,0,0.032701128367876,0.03880343451442059,138.293171402448,36.2037211121193,0.6540225673575201,0.7760686902884117
44.0,0,0.461518883276158,0.6291116779368622,180.451896559834,19.2952572357434,9.230377665523159,12.582233558737244
45.0,0,0.84917925612662,1.209537013857016,159.544464517596,45.0676266129961,16.9835851225324,24.19074027714032
46.0,0,0.199571617549475,0.4934373525850333,219.993548349955,67.4991538885931,3.9914323509895,9.868747051700666
47.0,0,0.611108896595086,0.6521468144603659,119.796874258178,29.4973355594842,12.22217793190172,13.042936289207319
48.0,0,0.710700897855356,0.7948076341779142,149.100024260446,23.8261768052735,14.214017957107119,15.896152683558284
49.0,0,0.103768228975939,0.19272480445920337,190.697976739175,48.7967908843948,2.07536457951878,3.8544960891840674
50.0,0,0.940905835475411,1.356268054288421,126.334122102639,71.1094923427132,18.818116709508217,27.125361085768418
51.0,0,0.373580901710595,0.935061664041541,213.654674554404,33.8931229251223,7.4716180342119,18.70123328083082
52.0,0,0.132371387935637,0.1328399497549526,101.176398465571,17.5008464746967,2.6474277587127397,2.6567989950990523
53.0,0,0.557139104972435,1.247124996131106,209.068370502552,55.5026880543569,11.1427820994487,24.94249992262212
54.0,0,0.393936103030855,0.581043901203202,140.561379946582,65.7047664991943,7.8787220606171005,11.62087802406404
55.0,0,0.795714089749156,1.1733571854517777,169.401119435861,39.9323738713904,15.91428179498312,23.467143709035554
56.0,0,0.0808713428394921,0.08324236977273358,131.370936333921,19.4376383439238,1.617426856789842,1.6648473954546716
57.0,0,0.733658819435726,1.1892324886264305,176.87481032075,45.4332868821599,14.67317638871452,23.78464977252861
58.0,0,0.318462703703582,0.4232787305011243,108.4135418264,67.8647522773836,6.369254074071639,8.465574610022486
59.0,0,0.99620717334708,1.9827605069633591,199.641379365831,29.6397787902312,19.9241434669416,39.65521013926718
60.0,0,0.50288232399572,0.5042573018010899,118.86047778809,13.7475800400553,10.0576464799144,10.085146036021797
61.0,0,0.186567118564924,0.4887161098361048,222.845105127369,50.7427783466431,3.73134237129848,9.774322196722096
62.0,0,0.771711372817744,1.206895648255113,158.526972552454,60.8096624650219,15.434227456354881,24.13791296510226
63.0,0,0.417755695001116,0.6845047183389852,183.460850143668,36.0603434998437,8.35511390002232,13.690094366779704
64.0,0,0.263511421232527,0.8185332965183534,212.764021568293,17.1352554728002,5.27022842465054,16.370665930367068
65.0,0,0.92216706370661,1.211682899132711,129.231481974066,55.3602367101363,18.443341274132198,24.233657982654222
66.0,0,0.0244731758901923,0.047621661914263314,189.634726387547,65.5623770353471,0.489463517803846,0.9524332382852663
67.0,0,0.661187698694234,0.8635563762356924,152.06315984776,39.5667207469272,13.22375397388468,17.271127524713847
68.0,0,0.841796978851527,1.0208801749206486,162.524702363855,24.1908334256416,16.83593957703054,20.417603498412973
69.0,0,0.468840106477946,0.6335062092136923,145.522655339396,48.9401756413711,9.37680212955892,12.670124184273845
70.0,1,0.571486588646492,1.2361343191935248,202.271089245678,71.2529392222561,11.429731772929841,24.722686383870496
71.0,0,0.239010796811042,0.255119167244402,105.982236731889,34.257717665117,4.7802159362208405,5.10238334488804
72.0,0,0.955553643415098,1.7511166737870099,178.497446835577,68.9120670010763,19.11107286830196,35.0223334757402
73.0,0,0.358929282199371,0.4498417488855466,161.498972687631,27.9579389637893,7.17858564398742,8.996834977710932
74.0,0,0.694095697033432,2.2773614298455414,218.041871190911,21.8827094848073,13.881913940668639,45.54722859691083
75.0,0,0.120369618226326,0.14084099030810648,121.748492040038,42.6076489018911,2.40739236452652,2.8168198061621297
76.0,0,0.37733104751811,0.7614698925669927,196.745736892131,59.7614603452896,7.5466209503621995,15.229397851339854
77.0,0,0.812315326238611,0.8982848312996339,113.209140089851,37.7430707223252,16.24630652477222,17.965696625992678
78.0,0,0.147019341184503,0.1616407233825612,173.910434681698,11.3035822996214,2.94038682369006,3.232814467651224
79.0,0,0.54248733270028,0.7251271334064313,136.341971589393,53.5673429264623,10.849746654005601,14.502542668128626
80.0,0,0.638126738002569,0.8097100954125835,103.132366848628,63.1177942771365,12.76253476005138,16.19420190825167
81.0,0,0.0473548045628617,0.1042917814345401,207.112460099569,42.3928626102365,0.947096091257234,2.085835628690802
82.0,0,0.900180772442804,0.9254484107111693,142.51249127599,16.0884443899547,18.00361544885608,18.508968214223387
83.0,0,0.285440484898071,0.4605862675464323,167.449949194972,57.0425646770579,5.70880969796142,9.211725350928646
84.0,0,0.216178729745982,0.34453674229439457,147.145544964023,73.696417579282,4.3235745949196405,6.890734845887891
85.0,0,0.594505603421869,1.0669307783393833,192.652514947079,31.4326802029923,11.890112068437379,21.338615566787666
86.0,0,0.446869171413641,0.46937400549609265,124.382475447169,25.2385629052616,8.93738342827282,9.387480109921853
87.0,0,0.863832787012427,2.096125607048407,215.606263229801,47.2569292776748,17.27665574024854,41.92251214096814
88.0,0,0.343307451930485,0.5285048574921802,187.269970775128,20.6194699795766,6.8661490386097,10.570097149843605
89.0,0,0.971240322562382,1.3340783658043165,154.458418334566,44.3847590125168,19.42480645124764,26.68156731608633
