ens,flag,m2200,mmax,t0,tau,m2200 scaled,mmax scaled
1.0,0,0.231746970734892,0.41063830132429757,185.825811596993,48.0203938242087,8.342890946456112,14.782978847674713
2.0,0,0.816952232487562,1.1655655999004466,117.349342543546,74.4517599332442,29.410280369552233,41.96036159641608
3.0,0,0.493806959125582,1.5759273306900923,224.386745109115,31.1793041721827,17.777050528520952,56.73338390484332
4.0,0,0.718086770601156,1.0733501644574517,140.147785726686,68.1253209631011,25.851123741641615,38.64060592046826
5.0,0,0.0965006174093862,0.1305931056310783,169.845190683605,28.877244750134,3.4740222267379033,4.701351802718818
6.0,0,0.949265562885973,0.9541831632157027,101.590470962862,18.6833504993383,34.17356026389503,34.3505938757653
7.0,0,0.36533943547928,0.8168347693447231,208.623823771633,45.6856093723658,13.15221967725408,29.40605169641003
8.0,0,0.139633395784113,0.19009552602597068,125.802262037671,62.5939802465366,5.026802248228067,6.843438936934945
9.0,0,0.549751205349885,1.3814134704500702,214.217012578628,34.789896323724,19.79104339259586,49.73088493620253
10.0,0,0.402175780841507,0.40929477232680256,149.632363534217,12.4853790594473,14.478328110294253,14.734611803764892
11.0,0,0.78734852016443,1.4725395140465025,190.135164163184,52.5188499326462,28.344546725919482,53.01142250567409
12.0,0,0.875336040982345,2.1542450046865724,219.430914138367,66.3166498639516,31.51209747536442,77.55282016871661
13.0,0,0.310407292835191,0.35350027236859205,120.328915016067,39.3144142414753,11.174662542066875,12.726009805269314
14.0,0,0.645512685265896,0.8550742608088058,181.015009048817,16.8747027718366,23.238456669572255,30.782673389117008
15.0,0,0.040090933776195,0.061137160038242655,159.011948276532,56.1227557342524,1.44327361594302,2.2009377613767356
16.0,0,0.453157250079828,0.8105065926213229,171.514925879312,72.5151251868831,16.313661002873808,29.178237334367623
17.0,0,0.857422631869579,0.98943912477921,138.706946315264,32.4816620638679,30.867214747304843,35.61980849205156
18.0,0,0.192187654315321,0.34760164348540457,195.234644259448,22.4065316288809,6.918755555351556,12.513659165474564
19.0,0,0.61837460237587,0.745471311087158,114.750770524677,50.2106078015097,22.261485685531323,26.83696719913769
20.0,0,0.29132318541968,0.3139845127782337,139.463406632749,23.6771603288356,10.48763467510848,11.303442460016413
21.0,0,0.898204914117227,1.4054099446309465,169.280150881085,49.4492586918502,32.33537690822017,50.59475800671407
22.0,0,0.0610064118941956,0.08132727784300187,100.811908012561,71.7540860845736,2.196230828191042,2.927782002348067
23.0,0,0.628381987770772,1.4221882886624826,207.725683089771,33.7519807564726,22.621751559747793,51.19877839184937
24.0,0,0.869669718868581,0.8831228995325091,126.455047812702,17.6380356863433,31.308109879268915,31.792424383170328
25.0,0,0.44493911156053,1.0546992593219784,214.752605023525,54.8541103547584,16.01780801617908,37.96917333559122
26.0,0,0.608203009225669,0.9353308566039686,150.442758243568,65.0483144918076,21.89530833212408,33.67191083774287
