ens,flag,m2200,mmax,t0,tau,m2200 scaled,mmax scaled
1.0,0,0.151552592621086,0.6404451175433223,223.484266632899,20.0523316952258,1.818631111453032,7.685341410519868
2.0,0,0.799024014879123,0.981424553093575,155.016037502626,30.3018102638877,9.588288178549476,11.7770946371229
3.0,0,0.390622373781103,0.7397941236320094,184.77439372102,67.2086710073024,4.687468485373236,8.877529483584112
4.0,0,0.116112886431178,0.15179773656768702,134.756571088764,51.3562181057233,1.3933546371741359,1.8215728388122443
5.0,0,0.698352413925074,0.8041194231384452,175.198241626148,13.1400943596423,8.380228967100887,9.649433077661342
6.0,0,0.345849734749831,0.3750831803051824,110.888408584442,35.4049616838461,4.150196816997972,4.500998163662189
7.0,0,0.968633175961133,2.004752942845016,199.364050776838,61.4709983596866,11.623598111533596,24.057035314140194
8.0,0,0.869066711857573,1.3725995522725043,166.15451402877,54.6981974862961,10.428800542290876,16.47119462727005
9.0,0,0.441635261472,0.46070831942984114,144.090263554866,17.7913444930651,5.299623137664,5.528499833158094
10.0,0,0.606608911645763,1.2940564665552756,204.501778162241,40.1754716448377,7.279306939749157,15.528677598663307
11.0,0,0.204075436425593,0.2638088072114897,105.460730301417,64.9476759338613,2.448905237107116,3.1657056865378763
12.0,0,0.290950914481148,0.6598295792207409,210.171499735193,49.5955342068174,3.4914109737737764,7.917954950648891
13.0,0,0.894670327956222,0.9398135569824717,129.626495908839,23.5295207815281,10.736043935474665,11.27776268378966
14.0,0,0.059669876696704,0.09972234652991574,186.367939839883,33.6443011565881,0.716038520360448,1.1966681583589889
15.0,0,0.625811650965221,1.016905628149516,153.620851927275,71.8604016521178,7.5097398115826515,12.20286753779419
16.0,0,0.412519907217779,0.7489049508933476,194.393085376877,27.2857394912441,4.950238886613348,8.986859410720172
17.0,0,0.776947175504586,1.062240133613841,113.852608187607,69.5902205522886,9.323366106055033,12.746881603366091
18.0,0,0.174465762700252,0.2649980641047023,170.402823124211,43.2062235663426,2.093589152403024,3.1799767692564274
19.0,0,0.514983694763897,0.54256897208802,137.65216233509,21.290088899023,6.179804337166765,6.51082766505624
20.0,0,0.990698606702194,1.6178581980341278,181.886434422074,38.4200288076938,11.888383280426329,19.414298376409533
21.0,0,0.323971255444963,0.5052241724717987,159.819080500688,59.0904524634962,3.8876550653395565,6.062690069661585
22.0,0,0.72134179494266,1.8256382806464444,220.512431356727,52.9754799211397,8.656101539311921,21.907659367757333
23.0,0,0.0931883524290521,0.09331539043046178,121.475440703956,11.9013955085192,1.1182602291486252,1.1197846851655413
24.0,0,0.243542170405929,0.3212321594730838,150.778680121278,41.7942801956013,2.922506044871148,3.8547859136770057
25.0,0,0.56695522995511,1.1089334512109872,191.216770330894,63.7104226131046,6.80346275946132,13.307201414531846
26.0,0,0.482133370196657,0.6372347623425867,126.608887110821,57.7147718997869,5.7856004423598835,7.64681714811104
27.0,0,0.828503730036321,3.0341592091156144,215.089063391556,15.4102830885586,9.942044760435852,36.40991050938737
28.0,0,0.665446293427572,0.696599434207883,100.535538423302,32.0245199577637,7.985355521130864,8.359193210494595
29.0,0,0.0202145662533494,0.04557115587090266,207.511751287252,73.0986276209354,0.2425747950401928,0.5468538704508319
